prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.10.152.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	406	0	406	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.154.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	407	0	407	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.155.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	408	0	408	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.156.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	409	0	409	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.157.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	410	0	410	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.158.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	411	0	411	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.159.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	412	0	412	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.160.0/19	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	413	0	413	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.160.0/22	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	414	0	414	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.164.0/24	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	415	0	415	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
